"city","country","pop2025","latitude","longitude"
"Muzaffarnagar","India",349706,29.4709,77.7033
"Latur","India",348967,18.3972,76.5678
"Kukatpalli","India",341709,17.4849,78.4138
"Ambattur","India",341049,13.0982,80.1615
"Bellary","India",336681,15.142,76.924
"Muzaffarpur","India",333200,26.1226,85.3905
"Kamarhati","India",332965,22.6711,88.3747
"Mathura","India",330511,27.5035,77.6721
"Patiala","India",329224,30.3363,76.3922
"Chanda","India",328351,19.9508,79.2952
"Bhilwara","India",326431,25.3471,74.6408
"Trichur","India",325110,10.5167,76.2167
"Brahmapur","India",324726,19.3115,84.7929
"Shahjanpur","India",320434,27.8817,79.9092
"Shimoga","India",319550,13.9316,75.5679
"New Delhi","India",317797,28.6358,77.2244
"Rohtak","India",317245,28.8945,76.5892
"Tumkur","India",307359,13.3414,77.1022
"Firozabad","India",306409,27.1509,78.3978
"Nizamabad","India",305438,18.6715,78.0988
"Kulti","India",305405,23.7317,86.8437
"Rajahmundry","India",304804,17.0052,81.7778
"Barddhaman","India",301725,23.2557,87.8569
"Barasat","India",298127,22.7215,88.482
"Bali","India",296973,22.6486,88.3411
"Hisar","India",296436,29.1539,75.7229
"Rampur","India",296418,28.8101,79.027
"Greater Noida","India",293908,28.4961,77.536
"Noida","India",293908,28.58,77.33
"Kakinada","India",292923,16.9604,82.2381
"Panipat","India",292808,29.3875,76.9682
"Parbhani","India",289629,19.2686,76.7708
"Darbhanga","India",287150,26.1522,85.8971
"Alwar","India",283228,27.5625,76.625
"Bilaspur","India",282705,22.08,82.1554
"Ichalkaranji","India",274383,16.6912,74.4605
"Bijapur","India",271064,16.8244,75.7154
"Aizawl","India",265331,23.7289,92.7179
"Jalna","India",262034,19.841,75.8864
"Lal Bahadur Nagar","India",261987,17.3477,78.5576
"Dewas","India",261218,22.9659,76.0553
"Baranagar","India",260072,22.6413,88.3773
"Gajuwaka","India",258944,17.7,83.2167
"Satna","India",257778,24.5773,80.8272
"Etawah","India",257448,26.7761,79.0213
"Durg","India",255283,21.1915,81.2762
"Naihati","India",253221,22.894,88.4152
"Tirupati","India",250821,13.6355,79.4199
"Sonipat","India",250521,28.9948,77.0194
"Avadi","India",250044,13.1147,80.1098
"Tiruvottiyur","India",248059,13.1582,80.3018
"Saugor","India",247333,23.8388,78.7387
"Mau","India",246050,25.9417,83.5611
"Bihar Sharif","India",244230,25.2008,85.5239
"Hapur","India",242920,28.7299,77.7807
"Bathinda","India",242800,30.2075,74.9389
"Farrukhabad","India",241152,27.3913,79.5793
"Anantapur","India",240442,14.6778,77.6081
"Barasat","India",237783,22.2252,88.4509
"Ratlam","India",236843,23.3303,75.0403
"Ramagundam","India",235000,18.755,79.474
"Ganganagar","India",231838,29.9201,73.875
"Bharatpur","India",229384,27.2173,77.4901
"Karimnagar","India",228745,18.4391,79.1286
"Puducherry","India",227411,11.9338,79.8298
"Shrirampur","India",226317,22.7528,88.3422
"Raichur","India",225962,16.2055,77.3557
"Quthbullapur","India",225816,17.5011,78.4582
"Karnal","India",225049,29.692,76.9845
"Arrah","India",223676,25.5563,84.6634
"Imphal","India",223523,24.8081,93.9442
"Gosaba","India",222764,22.1655,88.8007
"Mirzapur","India",220029,25.1449,82.5653
"Kharagpur","India",219665,22.3397,87.325
"Dhanbad","India",219636,23.802,86.4432
"Tanjore","India",219571,10.7852,79.1391
"Amarnath","India",217780,19.2,73.1667
"Nagercoil","India",213858,8.17899,77.4323
"Pali","India",210103,25.7728,73.3233
"Yamunanagar","India",208931,30.128,77.2837
"Rewa","India",208461,24.5326,81.2923
"Secunderabad","India",204182,17.5043,78.5426
"Bidar","India",204071,17.9133,77.5301
"Agartala","India",203264,23.8361,91.2794
"Monghyr","India",203163,25.3746,86.4745
"Burhanpur","India",202695,21.3087,76.2303
"Nadiad","India",202067,22.6938,72.8616
"Chapra","India",201597,25.7803,84.7471
"Dindigul","India",200797,10.369,77.9804
"Panchkula","India",200000,30.6946,76.8504
"Sikar","India",199932,27.6121,75.14
"Bulandshahr","India",198612,28.4039,77.8577
"Purnia","India",198453,25.7789,87.4742
"Hospet","India",197846,15.2695,76.3871
"Gurgaon","India",197340,28.4601,77.0264
"Sambhal","India",196109,28.585,78.5696
"Gandhinagar","India",195985,23.2167,72.6833
"Murwara","India",195856,23.8378,80.3941
"Nangloi Jat","India",194363,28.6796,77.068
"Machilipatnam","India",192827,16.1875,81.1389
"Katihar","India",192555,25.5385,87.5704
"Bhiwani","India",190855,28.793,76.1397
"Kultali","India",187942,21.9,88.4
"Raebareli","India",186433,26.2309,81.2331
"Haridwar","India",186079,29.9479,78.1602
"Singrauli","India",185580,24.1997,82.6753
"Junagadh","India",184447,21.5197,70.4598
"Sujangarh","India",183808,27.7,74.4667
"Ellore","India",183387,16.7131,81.1044
"Bhusaval","India",183001,21.0436,75.7851
"Khandwa","India",182841,21.8243,76.3509
"Bahraigh","India",182218,27.5743,81.5947
"Sirsa","India",181639,29.5349,75.029
"Chandannagar","India",180623,22.8622,88.368
"Baharampur","India",180547,24.1047,88.2515
"Surendranagar","India",179628,22.7271,71.6486
"Vizianagaram","India",179358,18.1169,83.4115
"Proddatur","India",177797,14.7502,78.5481
"Vellore","India",177081,12.9184,79.1326
"Hugli","India",177005,22.9088,88.3967
"Alleppey","India",176783,9.49004,76.3264
"Amroha","India",176253,28.9031,78.4698
"Tambaram","India",174787,12.9246,80.1271
"Pathankot","India",174306,32.2748,75.6529
"Bhind","India",174035,26.5667,78.7873
"Shimla","India",173503,31.1044,77.1666
"Ongole","India",172872,15.5036,80.0445
"Gadag-Betageri","India",172813,15.4167,75.6167
"Puri","India",170841,19.7983,85.8249
"Haldia","India",170695,22.0605,88.1097
"Khammam","India",170503,17.2477,80.1437
"Raiganj","India",170252,25.6128,88.1245
"Ingraj Bazar","India",170039,25.0045,88.1457
"Jaunpur","India",169572,25.7536,82.6869
"Fatehpur","India",166480,25.9277,80.8127
"Gandhidham","India",166388,23.0833,70.1333
"Nandyal","India",165337,15.478,78.4836
"Udupi","India",165000,13.3347,74.7462
"Loni","India",164810,28.7514,77.2902
"Sitapur","India",164435,27.5619,80.6826
"Shivpuri","India",164215,25.4238,77.6622
"Bhadravati","India",163903,13.8485,75.705
"Adoni","India",163631,15.6279,77.2749
"Veraval","India",163326,20.9077,70.3679
"Sambalpur","India",162887,21.4653,83.9757
"Gadag","India",162569,15.4298,75.6297
"Unnao","India",161671,26.5471,80.4878
"Budaun","India",161555,28.0381,79.1267
"Jind","India",161260,29.3158,76.315
"Madhyamgram","India",161126,22.6894,88.4459
"Jamuria","India",160242,23.7047,87.0787
"Jaigaon","India",158664,26.8477,89.3756
"Cuddalore","India",158569,11.7562,79.7669
"Orai","India",158265,25.9902,79.4533
"Hoshiarpur","India",158142,31.5372,75.9127
"Pallavaram","India",157145,12.968,80.1503
"Hanumangarh","India",155687,29.5818,74.3294
"Kanchipuram","India",155029,12.8351,79.7001
"Alandur","India",153775,13.0025,80.2061
"Guna","India",153689,24.6469,77.3113
"Bahadurgarh","India",153613,28.6929,76.9355
"Bharuch","India",153528,21.6948,72.9805
"Medinipur","India",153349,22.4211,87.3226
"Fyzabad","India",153047,26.7755,82.1502
"Dinapore","India",152940,25.6371,85.0479
"Silchar","India",152393,24.8273,92.7979
"Banda","India",152218,25.4776,80.3349
"Morena","India",152004,26.4989,77.9953
"Tonk","India",151331,26.1664,75.7882
"Raj-Nandgaon","India",150755,21.0969,81.0289
"Serilingampalle","India",150525,17.4931,78.302
"Virar","India",150357,19.4559,72.8114
"Malkajgiri","India",150000,17.4478,78.5263
"Shantipur","India",149983,23.2472,88.433
"Barakpur","India",148174,22.766,88.3634
"Erode","India",147270,11.3428,77.7274
"Ambala","India",146787,30.361,76.7978
"Krishnanagar","India",145926,23.4058,88.4907
"Saharsa","India",145764,25.875,86.5961
"Batala","India",145468,31.8092,75.2029
"Bhimavaram","India",142967,16.5408,81.5232
"Balurghat","India",141404,25.221,88.7773
"Kaithal","India",140604,29.8015,76.3996
"Lakhimpur","India",140223,27.9482,80.7794
"Hazaribagh","India",140063,23.9924,85.3616
"Vidisha","India",140045,23.526,77.8109
"Haldwani","India",139497,29.2225,79.5286
"Habra","India",139297,22.842,88.6561
"Kumbakonam","India",139264,10.9621,79.3912
"Porbandar","India",138872,21.6422,69.6093
"Chitradurga","India",138587,14.2226,76.4004
"Thanesar","India",138279,29.9732,76.8321
"Tiruvannamalai","India",138243,12.2266,79.0746
"Anand","India",138009,22.5525,72.9552
"Kanchrapara","India",136954,22.96,88.4285
"Mahbubnagar","India",136135,16.7439,77.986
"Dimapur","India",135860,25.9117,93.7217
"Robertsonpet","India",135218,12.9563,78.2754
"Chhindwara","India",134847,22.057,78.9396
"Mandya","India",134845,12.5223,76.8975
"Bankura","India",133966,23.2324,87.0716
"Hajipur","India",133606,25.6854,85.2098
"Gonda City","India",133583,27.1318,81.9533
"Bhuj","India",133459,23.254,69.6693
"Hindupur","India",133298,13.8281,77.4914
"Shillong","India",132842,25.5689,91.8831
"Palghat","India",132728,10.7732,76.6537
"Godhra","India",131913,22.7755,73.6149
"Kishangarh","India",131749,26.5901,74.854
"Raniganj","India",131261,23.6164,87.1306
"Pilibhit","India",131008,28.6312,79.8044
"Beawar","India",130777,26.1012,74.3203
"Abohar","India",130603,30.1445,74.1955
"Moga","India",130549,30.8138,75.1688
"Dehri","India",129938,24.9025,84.1822
"Deoria","India",129570,26.5017,83.7794
"Hassan","India",128531,13.0071,76.0962
"Khardah","India",128346,22.7186,88.3781
"Yavatmal","India",128175,20.3932,78.132
"Halisahar","India",128172,22.9322,88.4186
"Panvel","India",128046,18.9888,73.1101
"Titagarh","India",127751,22.7425,88.3733
"Cuddapah","India",127010,14.4799,78.8235
"Bettiah","India",127008,26.8023,84.5031
"Hathras","India",126882,27.5955,78.052
"Lalitpur","India",126475,24.6901,78.4192
"Kolar","India",126441,13.1377,78.13
"Mandsaur","India",124988,24.0718,75.0699
"Gondia","India",124897,21.4603,80.192
"Rajapalaiyam","India",124168,9.45296,77.5534
"Darjiling","India",123797,27.0333,88.2667
"Mohali","India",123484,30.68,76.7221
"Palanpur","India",123294,24.1713,72.4383
"Dam Dam","India",122719,22.6334,88.4229
"Hardoi","India",122635,27.3949,80.1317
"Puruliya","India",122533,23.3306,86.363
"Dibrugarh","India",122155,27.4799,94.9084
"Palwal","India",121965,28.1447,77.3255
"Nalgonda","India",121826,17.0544,79.2671
"Bhadreswar","India",121662,22.8245,88.3384
"Vejalpur","India",121610,22.6902,73.563
"Chikmagalur","India",121484,13.3223,75.774
"Raigarh","India",121278,21.8976,83.3966
"Guntakal Junction","India",120964,15.1711,77.3624
"Gangapur","India",120115,26.4725,76.7174
"Deoli","India",120000,28.5025,77.2312
"Siwan","India",119181,26.221,84.3561
"Damoh","India",118776,23.8331,79.4419
"Adilabad","India",118526,19.672,78.5359
"Chicacole","India",118299,18.2989,83.8975
"Uppal Kalan","India",118259,17.4058,78.5591
"Jetpur","India",118068,21.7548,70.6235
"Morbi","India",118022,22.8173,70.8377
"Patan","India",117863,23.8507,72.1296
"Khanna","India",117137,30.7055,76.222
"Botad","India",117053,22.1692,71.6667
"Rishra","India",117014,22.7239,88.3456
"Azamgarh","India",116644,26.0683,83.1836
"Yelahanka","India",116447,13.1007,77.5963
"Gudivada","India",116161,16.4355,80.9956
"Baidyabati","India",115504,22.785,88.3259
"Basti","India",115115,26.7882,82.7162
"Balasore","India",114321,21.4927,86.9335
"Dharmavaram","India",114050,14.4143,77.7204
"Maler Kotla","India",113840,30.5309,75.8795
"Wardha","India",113759,20.7393,78.5978
"Jhunjhunun","India",113193,28.1256,75.398
"Satara","India",112793,17.6859,73.9933
"Chanduasi","India",112635,28.4518,78.7828
"Mothihari","India",112144,26.6486,84.9166
"Chas","India",112141,23.6356,86.1671
"Pudukkottai","India",112118,10.3813,78.8214
"Rewari","India",112079,28.199,76.6183
"Port Blair","India",112050,11.6661,92.7464
"Suriapet","India",111729,17.1405,79.6205
"Bangaon","India",111693,23.0455,88.8308
"Chhatarpur","India",111594,24.9177,79.5887
"Ashoknagar Kalyangarh","India",111475,22.8642,88.637
"Achalpur","India",111278,21.2567,77.5101
"Navadwip","India",111123,23.4067,88.3686
"Barsi","India",110983,18.2345,75.6927
"Sultanpur","India",110368,26.2579,82.0727
"Ambur","India",109873,12.7916,78.7164
"Hoshangabad","India",109358,22.7475,77.7274
"Sawai Madhopur","India",108612,26.023,76.3441
"Madanapalle","India",108593,13.5503,78.5029
"Bansbaria","India",108474,22.9539,88.401
"Tadepallegudem","India",108167,16.8147,81.5272
"Jalpaiguri","India",107832,26.5167,88.7333
"Chittaurgarh","India",106710,24.8896,74.624
"Gangawati","India",106250,15.4313,76.5293
"Khurja","India",105909,28.2538,77.8553
"Ponnani","India",105512,10.7669,75.9252
"Barnala","India",105016,30.3745,75.5487
"Badlapur","India",104636,19.1552,73.2655
"Soyibug","India",104000,34.0768,74.7057
"Roorkee","India",103894,29.8663,77.8912
"Bagaha","India",103855,27.0992,84.09
"Hosur","India",103724,12.7365,77.8326
"Churu","India",103533,28.3041,74.9672
"Nagda","India",103501,23.4583,75.4176
"Kashipur","India",103138,29.214,78.9569
"Ghazipur","India",103095,25.5833,83.5853
"Begusarai","India",103060,25.4185,86.1339
"Dhaulpur","India",102462,26.6929,77.8797
"Mormugao","India",102345,15.3891,73.8149
"Ferozepore","India",102130,30.9257,74.6131
"Gondal","India",101801,21.9607,70.8026
"Seoni","India",101379,22.085,79.5504
"Jagadhri","India",101300,30.1672,77.3037
"Mirialguda","India",101234,16.8722,79.5625
"Udgir","India",101064,18.3926,77.1176
"Jamalpur","India",100780,25.3126,86.4889
"Nandurbar","India",100703,21.3667,74.2405
"Itarsi","India",100574,22.6148,77.7622
"Vasco da Gama","India",100485,15.3959,73.8157
"Phagwara","India",100146,31.2245,75.7739
"Airoli","India",100000,19.151,72.9962
"Amreli","India",99742,21.5998,71.2117
"Shikohabad","India",99678,27.108,78.5866
"Kasganj","India",99462,27.8088,78.6458
"Sehore","India",99284,23.2,77.0833
"Ranibennur","India",99105,14.6224,75.6295
"Jagtial","India",99035,18.7947,78.9166
"Bhadrakh","India",98648,21.0545,86.5156
"Bundi","India",98569,25.4386,75.6374
"Ooty","India",98238,11.4134,76.6952
"Mughal Sarai","India",98043,25.2831,83.1197
"Shamli","India",97966,29.4497,77.3096
"Hinganghat","India",97568,20.5487,78.8398
"Villupuram","India",97380,11.9397,79.4924
"Amalner","India",97369,21.0398,75.0589
"Bagalkot","India",97269,16.1867,75.6961
"Tellicherry","India",97201,11.7481,75.4929
"Narasaraopet","India",97194,16.2349,80.0493
"Nagaur","India",96847,27.202,73.7339
"Nawada","India",96730,24.8867,85.5436
"Jahanabad","India",96387,25.2137,84.9871
"Chalisgaon","India",96381,20.4578,75.016
"Buxar","India",96120,25.5755,83.9804
"Aurangabad","India",95929,24.752,84.3742
"Sahibganj","India",95890,25.2442,87.6348
"Pandharpur","India",95665,17.6792,75.331
"Hindaun","India",95593,26.7341,77.0352
"Khargone","India",94985,21.8229,75.6139
"Parli Vaijnath","India",94863,18.8506,76.5316
"Kishanganj","India",94807,26.1022,87.9553
"Mainpuri","India",94619,27.2286,79.0288
"Khamgaon","India",94604,20.7074,76.5683
"Negapatam","India",94238,10.7638,79.8431
"Chilakalurupet","India",94011,16.0899,80.1671
"Gudiyatham","India",93973,12.946,78.8738
"Makrana","India",93904,27.0436,74.7244
"Banswara","India",93648,23.5411,74.4425
"Baraut","India",93544,29.102,77.2633
"Closepet","India",93528,12.7218,77.2815
"Kalyani","India",93184,22.9833,88.4833
"Tadpatri","India",93044,14.9083,78.0103
"Kapurthala","India",92667,31.3801,75.3811
"Disa","India",92224,24.2561,72.1793
"Ballalpur","India",92146,19.847,79.3458
"Kohima","India",92113,25.6747,94.111
"Betul","India",91953,21.9006,77.9023
"Karaikkudi","India",91908,10.0661,78.7678
"Bagaha","India",91383,24.529,85.0602
"Balangir","India",91241,20.7042,83.4903
"Datia","India",90628,25.6731,78.4591
"Valparai","India",90353,10.3269,76.9512
"Kovilpatti","India",90296,9.17167,77.8699
"Vaniyambadi","India",90288,12.6816,78.6201
"Bhandara","India",90183,21.1682,79.6488
"Roha","India",90000,18.4369,73.1196
"Muktsar","India",89833,30.4743,74.5166
"Luckeesarai","India",89500,25.1765,86.0947
"Barmer","India",89487,25.7457,71.3921
"Muradnagar","India",89482,28.7807,77.4986
"Tinsukia","India",89373,27.489,95.3599
"Shahdol","India",89289,23.2936,81.3619
"Manjeri","India",89201,11.1202,76.12
"Mahoba","India",89170,25.2905,79.8753
"Contai","India",88702,21.7799,87.7489
"Sangrur","India",88615,30.2451,75.8449
"Pollachi","India",88214,10.6582,77.0085
"Deoband","India",88171,29.695,77.6796
"Neyyattinkara","India",88104,8.39854,77.0859
"Tanda","India",88073,26.5495,82.6584
"Baran","India",87478,25.1,76.5167
"Dhamtari","India",87151,20.7072,81.5487
"Tiruchengode","India",87123,11.3802,77.8944
"Chirala","India",87001,15.8238,80.3522
"Jharia","India",86938,23.7408,86.4146
"Akot","India",86917,21.0963,77.0588
"Rajpura","India",86820,30.4786,76.5928
"Madgaon","India",86818,15.275,73.9579
"Sardarshahr","India",86672,28.4406,74.491
"Mayiladuthurai","India",86660,11.1035,79.655
"Kamthi","India",86213,21.2162,79.1973
"Paradip Garh","India",85868,20.3164,86.6085
"Paramagudi","India",85695,9.54633,78.5907
"Osmanabad","India",85521,18.1816,76.0389
"Aruppukkottai","India",85369,9.5096,78.0959
"Baruni","India",84888,25.4751,85.9681
"Bijnor","India",84593,29.373,78.1364
"Anakapalle","India",84357,17.6913,83.004
"Najibabad","India",84006,29.6119,78.3427
"Dohad","India",83966,22.8328,74.2599
"Ramgarh","India",83833,23.6303,85.5216
"Kavali","India",83352,14.9163,79.9945
"Fatehpur","India",83170,27.9949,74.9563
"Jangipur","India",82548,24.47,88.0766
"Dhar","India",82438,22.5937,75.2977
"Hansi","India",82407,29.1024,75.9625
"Kadiri","India",81498,14.1117,78.1598
"Dhoraji","India",81445,21.7336,70.45
"Rayachoti","India",81433,14.0572,78.7506
"Khambhat","India",81328,22.3174,72.6192
"Nirmal","India",80982,19.0968,78.3441
"Emmiganur","India",80933,15.772,77.4835
"Jeypore","India",80837,18.8563,82.5716
"Kotkapura","India",80741,30.5819,74.833
"Udhampur","India",80447,32.9243,75.1357
"Kairana","India",80432,29.3954,77.2054
"Balaghat","India",80360,21.8156,80.1885
"Mansa","India",80018,29.9884,75.4017
"Anantnag","India",79821,33.7307,75.1542
"Karaikal","India",79653,10.9167,79.8333
"Jharsugra","India",79492,21.8624,84.0178
"Brajarajnagar","India",79421,21.8167,83.9167
"Kottagudem","India",79247,17.5511,80.6178
"Nawabganj","India",79246,26.9313,81.1984
"Arakkonam","India",79080,13.0845,79.6705
"Koch Bihar","India",78737,26.3254,89.4451
"Dod Ballapur","India",78676,13.2945,77.5378
"Bhadohi","India",78568,25.3953,82.5703
"Katoya","India",78408,23.6456,88.1326
"Jamui","India",78181,24.9261,86.2253
"Harihar","India",78034,14.5129,75.8072
"Mancheral","India",77998,18.8707,79.4286
"Kadayanallur","India",77772,9.07277,77.3415
"Daltonganj","India",77704,24.0397,84.0658
"Faridkot","India",77450,30.674,74.7558
"Balrampur","India",77396,27.4295,82.1854
"Baramula","India",77276,34.209,74.3428
"Dhulian","India",77070,24.6813,87.9535
"Mawana","India",76973,29.1029,77.922
"Karur","India",76915,10.9577,78.0809
"Kundla","India",76809,21.3422,71.3063
"Manmad","India",76722,20.2533,74.4376
"Kannauj","India",76714,27.0552,79.9188
"Malaut","India",76616,30.2112,74.4818
"Nagina","India",76593,29.4443,78.4365
"Badagara","India",76493,11.5978,75.5814
"Jagdalpur","India",76465,19.0814,82.0213
"Jumri Tilaiya","India",76341,24.4349,85.5295
"Baj Baj","India",76159,22.4751,88.1777
"Konnagar","India",76082,22.7051,88.3445
"Ratnagiri","India",75986,16.9915,73.3102
"Hingoli","India",75878,19.7146,77.1424
"Bodinayakkanur","India",75680,10.0117,77.3498
"Khadki","India",75654,18.5635,73.8521
"Dhrangadhra","India",75578,22.9917,71.4679
"Paloncha","India",75224,17.6018,80.7051
"Gudur","India",74851,14.1509,79.8521
"Ankleshwar","India",74742,21.6324,72.99
"Tikamgarh","India",74724,24.7433,78.8306
"Srivilliputhur","India",74370,9.51272,77.6337
"Sivakasi","India",74282,9.44999,77.798
"Pilkhua","India",74212,28.7127,77.656
"Ambajogai","India",74114,18.7331,76.3862
"Bela","India",73992,25.9206,81.9963
"Bodhan","India",73938,18.6621,77.8858
"Rabkavi","India",73835,16.4757,75.1106
"Karauli","India",73717,26.4983,77.0275
"Savarkundla","India",73695,21.3373,71.3035
"Shahabad","India",73606,27.6431,79.9402
"Chandpur","India",73555,29.1349,78.2719
"Gokak","India",73478,16.169,74.8239
"Sikandarabad","India",73379,28.4523,77.7
"Virudunagar","India",73273,9.58509,77.9579
"Dausa","India",73034,26.89,76.3358
"Valsad","India",72929,20.6101,72.9343
"Ambikapur","India",72821,23.1189,83.1954
"Palghar","India",72335,19.6969,72.7654
"Dharapuram","India",72291,10.7383,77.5322
"Chintamani","India",71798,13.4005,78.0517
"Faridpur","India",71783,28.21,79.5415
"Pusad","India",71588,19.9127,77.5784
"Madhubani","India",71582,26.3537,86.0717
"Sirsilla","India",71499,18.3887,78.8105
"Vapi","India",71395,20.3717,72.9049
"Kamareddi","India",71042,18.32,78.3418
"Bolpur","India",70998,23.6628,87.697
"Ranaghat","India",70984,23.1762,88.5667
"Fazilka","India",70887,30.4021,74.0284
"Beypore","India",70751,11.1715,75.8061
"Dadri","India",70609,28.5526,77.554
"Auraiya","India",70508,26.4652,79.5092
"Bapatla","India",70117,15.9042,80.4674
"Payyannur","India",70069,12.0935,75.2025
"Talipparamba","India",69878,12.0416,75.3593
"Tindivanam","India",69839,12.234,79.6555
"Shirpur","India",69540,21.3482,74.8803
"Basoda","India",69278,23.8515,77.9365
"Jorhat","India",69033,26.7575,94.2031
"Sindhnur","India",68793,15.7698,76.7558
"Bargarh","India",68670,21.3335,83.619
"Washim","India",68622,20.1113,77.133
"Visnagar","India",68619,23.6985,72.5521
"Palwancha","India",68561,17.5815,80.6765
"Keshod","India",68518,21.3033,70.2486
"Kannangad","India",68450,12.3081,75.1063
"Bisalpur","India",68355,28.2925,79.8047
